logz logzerr logvol nlive logl logwt insert_order
-7.825569332003819942e+07 3.226459765729966108e+06 -1.700000000000000816e-02 1.000000000000000000e+03 -7.590893692341698706e+07 -7.590894384867222607e+07 1.459999999999999909e-01
-7.590894384867222607e+07 1.392146095551830716e+06 -1.800000000000000905e-02 1.000000000000000000e+03 -7.243209310387046635e+07 -7.243210003012570739e+07 1.195999999999999952e+00
-7.243210003012570739e+07 1.638999428509716876e+06 -1.900000000000000994e-02 1.000000000000000000e+03 -7.183585813619019091e+07 -7.183586506344543397e+07 5.300000000000000266e-01
-7.183586506344543397e+07 2.810677694275969989e+05 -2.000000000000001082e-02 1.000000000000000000e+03 -6.896885095029227436e+07 -6.896885787854750454e+07 1.514000000000000012e+00
-6.896885787854750454e+07 1.241450878951682243e+06 -2.100000000000001171e-02 1.000000000000000000e+03 -6.745272178773988783e+07 -6.745272871699512005e+07 2.919999999999999818e-01
-6.745272871699512005e+07 1.268541098675478948e+06 -2.200000000000001260e-02 1.000000000000000000e+03 -6.709635212086915225e+07 -6.709635905112438649e+07 1.082000000000000073e+00
-6.709635905112438649e+07 5.166646371410186985e+05 -2.300000000000001349e-02 1.000000000000000000e+03 -6.704639278789804876e+07 -6.704639971915328503e+07 1.651999999999999913e+00
-6.704639971915328503e+07 1.113321924068005465e+05 -2.400000000000001438e-02 1.000000000000000000e+03 -6.704279881822677702e+07 -6.704280575048201531e+07 6.099999999999999867e-01
-6.704280575048201531e+07 1.126201978258259915e+05 -2.500000000000001527e-02 1.000000000000000000e+03 -6.685810790110278130e+07 -6.685811483435802162e+07 8.999999999999999667e-02
-6.685811483435802162e+07 9.796452451690826274e+04 -2.600000000000001615e-02 1.000000000000000000e+03 -6.649986238296196610e+07 -6.649986931721720099e+07 1.100000000000000089e+00
-6.649986931721720099e+07 2.196602981591726129e+05 -2.700000000000001704e-02 1.000000000000000000e+03 -6.303190369147040695e+07 -6.303191062672564387e+07 1.580000000000000016e-01
-6.303191062672564387e+07 1.845912775454571703e+06 -2.800000000000001793e-02 1.000000000000000000e+03 -5.879822666985484958e+07 -5.879823360611008853e+07 1.445999999999999952e+00
-5.879823360611008853e+07 3.088629603566200472e+06 -2.900000000000001882e-02 1.000000000000000000e+03 -5.830093992968335003e+07 -5.830094686693859100e+07 6.340000000000000080e-01
-5.830094686693859100e+07 1.720153026347242529e+06 -3.000000000000001971e-02 1.000000000000000000e+03 -5.753487702367865294e+07 -5.753488396193388849e+07 1.425999999999999934e+00
