Teff logg R Av
3.269481672786024319e+03 4.376942159789051878e+00 5.189140565289653839e-01 1.752916858543349221e+00
3.268431553469922619e+03 4.649562334940071651e+00 5.274347160646966071e-01 1.848192131864071497e+00
3.327506216501173640e+03 5.041552770903075853e+00 5.289081107685388305e-01 2.001815703416355063e+00
3.277314293158769033e+03 4.467530192654257881e+00 5.199217712981600847e-01 1.746092629067782287e+00
3.341961168363295656e+03 4.416482598079453759e+00 5.020473317669663649e-01 1.614438293498141164e+00
3.298541804260769823e+03 4.554392642563586335e+00 5.135563489599022091e-01 1.743130559539474600e+00
3.223127022999433393e+03 4.695099689676534460e+00 5.309596687567675888e-01 1.727385533358277492e+00
3.315482090560955839e+03 4.595692974373731587e+00 5.117655912462988343e-01 1.775529416966595830e+00
3.134945856106432984e+03 4.756630551432172282e+00 5.536366511055269557e-01 1.747973229469682810e+00
3.266323403276307545e+03 4.976218064679388320e+00 5.389327368992762324e-01 1.918198020601724174e+00
3.288972207665474798e+03 4.577448902771965145e+00 5.202490244480175718e-01 1.768393581192248876e+00
3.216483224351001809e+03 4.942060205108733228e+00 5.451699123123533441e-01 1.929293847759965042e+00
3.338519380104446554e+03 4.722183331680645857e+00 5.118768746079982446e-01 1.750348753053017292e+00
3.246800908810645069e+03 4.513867979526391849e+00 5.336426624277411657e-01 1.792860423046220619e+00
3.341224646505896544e+03 4.416108327333032157e+00 5.008343646107182856e-01 1.565917786573163051e+00
3.253559937477905805e+03 4.533840390498039774e+00 5.305347689956624313e-01 1.784306510718230987e+00
3.161444244338036697e+03 5.038816751304965535e+00 5.587493535761837160e-01 1.896464017754216913e+00
3.289215329665738864e+03 4.756623475826093461e+00 5.279893131581444576e-01 1.851572347402044016e+00
3.211317430073563628e+03 4.923262720014245808e+00 5.455948993601527075e-01 1.868009196089813750e+00
3.249267649399480433e+03 4.879662932059945391e+00 5.384262656532966540e-01 1.930188001355477079e+00
3.293636552114793631e+03 4.677612929199420400e+00 5.213830619073658301e-01 1.773524464080281415e+00
3.210329333709891216e+03 4.754547314038333639e+00 5.395975332841295158e-01 1.791649385750287315e+00
3.287575143413327623e+03 4.627395291517974130e+00 5.297014803768528290e-01 1.959106816853763089e+00
3.256505406711167780e+03 4.534941657047578900e+00 5.231994150575408620e-01 1.718033991243248515e+00
3.264829417795548125e+03 4.640936693354695386e+00 5.305755302698201836e-01 1.808395100238684439e+00
3.295770438689959974e+03 4.509627745205104787e+00 5.082337826720848550e-01 1.680905496254611720e+00
3.361020251473857570e+03 4.657546906920348562e+00 5.123581519797641981e-01 1.821809115707239801e+00
3.275354548798614815e+03 4.908342821308913528e+00 5.267130621834104076e-01 1.820590526214518334e+00
3.311940869533960722e+03 4.586074780704912257e+00 5.255797086639364402e-01 1.901775045873754566e+00
3.236520174536793547e+03 4.615988587101856666e+00 5.329155224117091416e-01 1.800493761065522280e+00
3.273108394287582087e+03 4.536365871636035330e+00 5.242892636557893171e-01 1.761200884610394146e+00
3.237994338812189199e+03 4.835681922350463680e+00 5.292725417767073504e-01 1.784342544594656133e+00
3.201931548177606146e+03 4.707045136243404038e+00 5.394680978113124414e-01 1.765500023187951184e+00
3.274296842455349179e+03 5.331872137466039163e+00 5.427088290990251807e-01 1.972580352049628338e+00
3.268793602297097095e+03 4.799902616013031142e+00 5.306711603014599987e-01 1.824625483560139205e+00
3.222151291606628547e+03 4.414683326696221322e+00 5.383671619327848878e-01 1.814225579898803176e+00
3.281137976380424789e+03 4.548825067687381818e+00 5.228682943639424430e-01 1.831875070564062957e+00
3.186526587616426696e+03 4.557404447819582316e+00 5.465545185091573721e-01 1.895512433254864293e+00
3.262740175241023280e+03 4.718712970535217543e+00 5.259052007074666024e-01 1.813396204936739142e+00
3.260523373324677777e+03 4.924573542278436911e+00 5.254455073447841240e-01 1.772667165871166794e+00
3.246470778498537129e+03 4.646612565159683683e+00 5.370355998319664703e-01 1.885112570215031758e+00
3.285624958989057632e+03 4.685302045235294699e+00 5.304512146198162581e-01 1.905128545507375648e+00
3.265364455963862383e+03 4.579797695407703984e+00 5.225284094331253959e-01 1.729814276175882792e+00
3.290661727884433731e+03 4.686499071240897152e+00 5.281880325008325716e-01 1.832571018517584527e+00
3.222988388447395209e+03 4.756218673197323277e+00 5.398170661370624845e-01 1.797257382618682620e+00
3.270695317836483355e+03 5.054320281642061374e+00 5.345331142479288200e-01 1.853260053757750825e+00
