weight logl Teff logg R Av
0.000000000000000000e+00 -2.758394803169292212e+07 3.941372627855841984e+03 3.238055908143824269e+00 4.221861947421212236e+00 4.683830642216115336e+00
0.000000000000000000e+00 -2.733546650924206153e+07 3.707002424017745398e+03 4.442004788005438520e+00 4.760217053229310658e+00 4.746533380494465604e+00
0.000000000000000000e+00 -2.717087404724648222e+07 3.992477984965005362e+03 4.299673886447294535e+00 3.874563900617219225e+00 3.354045712665977064e+00
0.000000000000000000e+00 -2.667980731728664041e+07 3.619554883617907763e+03 3.904710298748608643e+00 3.712995541197364968e+00 1.408483122907458363e+00
0.000000000000000000e+00 -2.667124604679751024e+07 3.327531489361012063e+03 3.338559485191031850e+00 3.813888811544400959e+00 8.368340288327646981e-01
0.000000000000000000e+00 -2.626204017755091190e+07 3.066243517565192633e+03 4.316304566207643134e+00 4.454242167976015132e+00 1.108098460188074341e+00
0.000000000000000000e+00 -2.599941797946193814e+07 3.478840878146807427e+03 4.053871685227330879e+00 4.108870516420366492e+00 2.012705248016963377e+00
0.000000000000000000e+00 -2.586298626406015828e+07 3.681723091453786765e+03 3.040440771900665862e+00 3.593270813367421823e+00 1.561117716032920821e+00
0.000000000000000000e+00 -2.563757822765483707e+07 3.356478531211804693e+03 4.062733350175863123e+00 4.747497177579254490e+00 3.280603905652144103e+00
0.000000000000000000e+00 -2.545921312701276317e+07 3.188549533446389432e+03 3.966710844040495232e+00 3.850666971925991167e+00 2.776409641033172893e-01
0.000000000000000000e+00 -2.514741599929900095e+07 3.488268103890192378e+03 5.413434305501917621e+00 3.679884958778811832e+00 7.101507899307479832e-01
0.000000000000000000e+00 -2.503794505532337725e+07 3.069399067990989806e+03 5.096903251998906370e+00 4.147578337054989461e+00 4.729229401932055765e-01
0.000000000000000000e+00 -2.486950827688068524e+07 3.174171631562174298e+03 2.614048042472284727e+00 4.607888067023390377e+00 3.289006656881891644e+00
0.000000000000000000e+00 -2.466428375838987157e+07 3.097282085356531752e+03 5.262538932131908709e+00 4.292300876220199513e+00 9.085544177091997575e-01
0.000000000000000000e+00 -2.448298038446986303e+07 3.878903066133067568e+03 4.594908376866035482e+00 3.891515626628226254e+00 3.057546832818025084e+00
0.000000000000000000e+00 -2.427739281382083520e+07 3.232570883800659431e+03 2.628418070121649297e+00 4.997491548441895581e+00 4.863900604192037846e+00
0.000000000000000000e+00 -2.398725143169171736e+07 2.605289040112990733e+03 3.422180221654256727e+00 4.964864172450907276e+00 6.283391328442616830e-01
0.000000000000000000e+00 -2.371798879527270049e+07 3.652859364570190792e+03 3.733505852558756111e+00 4.117929604289479073e+00 3.532179841944192322e+00
0.000000000000000000e+00 -2.338131850639963523e+07 2.470081249982544250e+03 3.782514429808898182e+00 4.998131874189637003e+00 1.489559375418064713e-01
0.000000000000000000e+00 -2.333193922629240900e+07 3.710816625715627197e+03 2.942344242392987752e+00 3.681688495381316706e+00 2.398814666906634585e+00
0.000000000000000000e+00 -2.292644968461839855e+07 3.269965300525499060e+03 2.542035371427761259e+00 4.013701705437087597e+00 2.147305614598296497e+00
0.000000000000000000e+00 -2.271268529218885303e+07 3.548063629444509843e+03 4.217140337900169733e+00 4.716694104877454663e+00 4.580454764434536585e+00
