weight logl Teff logg R Av
0.000000000000000000e+00 -4.841942655498997122e+07 7.892686253078432523e-01 7.340424866765822287e-01 8.028718338120385267e-01 7.234834331294048848e-02
0.000000000000000000e+00 -4.786023475522518903e+07 5.372581112454424268e-01 8.715670433944611162e-03 9.211836389758578658e-01 1.570262959184128837e-01
0.000000000000000000e+00 -4.745349453498969972e+07 9.811008728414650770e-01 7.250482677552286814e-01 9.440597510106469858e-01 7.676431843947579825e-01
0.000000000000000000e+00 -4.727340687168054283e+07 9.890406994970913912e-01 5.842134497357764911e-02 9.274011885673942857e-01 8.242173981539271388e-01
0.000000000000000000e+00 -4.597649893237922341e+07 6.539904941001569716e-01 2.873612742508868667e-02 8.766686389843707516e-01 2.305537888446113071e-01
0.000000000000000000e+00 -4.438584075684613734e+07 8.732834695960297600e-01 4.125356457553777112e-01 8.564860564673322241e-01 4.682871406039966766e-01
0.000000000000000000e+00 -4.391862162114597857e+07 7.296407074305830687e-01 8.478941667345123445e-01 8.014890398181148123e-01 3.252304913491466110e-02
0.000000000000000000e+00 -4.254887754862243682e+07 8.478969604889351475e-01 3.190342638656974428e-01 7.318800438264375652e-01 6.602030350586107765e-02
0.000000000000000000e+00 -4.244414545077823848e+07 7.592214333358611178e-01 5.325097596029850777e-01 8.634673233962165684e-01 2.694830100925608152e-01
0.000000000000000000e+00 -4.208224603089503944e+07 6.444704118555094619e-01 7.594463633855235152e-01 8.517470214361873015e-01 5.952294056671592060e-02
0.000000000000000000e+00 -4.172206050528687239e+07 6.207875493510074394e-01 6.385418031503331537e-01 9.566352167774355708e-01 2.629971849343466506e-01
0.000000000000000000e+00 -4.168160926726064831e+07 6.300994263269773521e-01 6.548968505227549253e-01 9.422062846059764407e-01 2.440825695352221159e-01
0.000000000000000000e+00 -4.150965311253412813e+07 5.232496739874659131e-01 3.860756570942039945e-01 9.837233602296560075e-01 2.266625725437351191e-01
0.000000000000000000e+00 -4.090501454308056831e+07 9.739526861900679178e-01 4.622673425941518088e-01 7.014791090729096679e-01 1.535802208503266320e-01
0.000000000000000000e+00 -3.997049032182306051e+07 8.802927880220927648e-01 5.350481174432771825e-01 9.954120004951656497e-01 9.329359233482070746e-01
0.000000000000000000e+00 -3.856346096166770905e+07 9.415289906361972161e-01 8.549393699377841882e-01 7.554511779268540117e-01 2.584391643799961447e-01
0.000000000000000000e+00 -3.841207687011677772e+07 6.440453062144870788e-01 7.990993377936184139e-02 9.389413206269213719e-01 5.173832232474893100e-01
0.000000000000000000e+00 -3.839668139015821368e+07 4.109294108091235964e-01 3.035417659637790200e-01 9.705913061658698604e-01 6.644317914213471177e-02
0.000000000000000000e+00 -3.827954217924628407e+07 9.947269260854079143e-01 3.615190553952110086e-01 8.678453877154571616e-01 8.119216148482013562e-01
0.000000000000000000e+00 -3.760182192743958533e+07 4.828675444446198783e-01 4.287645842715468447e-01 9.211279232681683915e-01 7.861105240513333037e-02
0.000000000000000000e+00 -3.759798543504379690e+07 4.901294441307948446e-01 9.640203980713099030e-01 9.233466259123749298e-01 6.459494064952253645e-02
0.000000000000000000e+00 -3.752707855515483022e+07 9.561724529790144311e-01 2.822019798975539118e-02 7.343703148406880432e-01 2.825482535014847141e-01
0.000000000000000000e+00 -3.716137535318955034e+07 5.603698183119080189e-01 1.178605280051812088e-01 8.762327926989379456e-01 1.918932516793201426e-01
0.000000000000000000e+00 -3.681626596717330068e+07 6.875955837118854497e-01 3.358274171462458657e-01 8.992726852688708306e-01 4.139929956591162918e-01
0.000000000000000000e+00 -3.667604772717931867e+07 5.731777839362346416e-01 2.024108649073743660e-01 8.225244062541013923e-01 5.429965120861546257e-02
0.000000000000000000e+00 -3.634696612509943545e+07 7.835272677252786977e-01 4.182071833203462319e-01 9.223539903581512434e-01 6.375536634552757542e-01
0.000000000000000000e+00 -3.628721925029898435e+07 7.437465958335984784e-01 5.516664975192443476e-01 8.188818941846592869e-01 2.105945981605669148e-01
0.000000000000000000e+00 -3.592140807063986361e+07 7.589292444684743177e-01 8.653996555696882309e-01 7.960614118550287666e-01 1.513075967594514903e-01
0.000000000000000000e+00 -3.585760574619559944e+07 8.197989535077265799e-01 9.369766460047880274e-01 7.019491665470771746e-01 1.104617298088084176e-02
0.000000000000000000e+00 -3.511460121007885039e+07 8.827770312039340261e-01 2.208451479786027738e-01 7.639762364095774583e-01 3.560650496921911046e-01
0.000000000000000000e+00 -3.478563661862573773e+07 7.722489281196466271e-01 9.722493558356033461e-01 9.252090780787126656e-01 5.014982288619185269e-01
0.000000000000000000e+00 -3.451817766499798745e+07 8.226354150173044166e-01 6.219816722624368355e-01 8.810616968025880569e-01 5.308302355634993974e-01
0.000000000000000000e+00 -3.322432234500024840e+07 4.966617280156403469e-01 2.093021917592717829e-01 8.603823209304107822e-01 9.649812232591015171e-02
0.000000000000000000e+00 -3.276949442132904381e+07 4.938862643060696334e-01 1.677145465017204629e-02 9.150508530240203386e-01 3.070865919408563016e-01
0.000000000000000000e+00 -3.265831298432531208e+07 8.278657479832898236e-01 6.287671756224225694e-01 8.463393842671107503e-01 4.720064125732877924e-01
0.000000000000000000e+00 -3.221587764739033952e+07 6.991755109303904314e-01 9.837236597698054696e-01 7.564386056944307768e-01 3.681050191043455655e-02
0.000000000000000000e+00 -3.202138828174256161e+07 6.984377698681518698e-01 9.705656278400893733e-01 8.396127304342335673e-01 2.311367287751803223e-01
0.000000000000000000e+00 -3.176819073985198140e+07 7.667044072577646752e-01 7.673981198148216443e-01 9.672404927583870826e-01 6.722097798523183343e-01
0.000000000000000000e+00 -3.123506115205083415e+07 6.941617690182845246e-01 2.189778882699829898e-01 7.260389053723895758e-01 3.703306909925019319e-02
