WL(nm)	transmission          
2018.0	0.000000000
2019.0	0.000010622
2020.0	0.000012052
2021.0	0.000014693
2022.0	0.000018495
2023.0	0.000019186
2024.0	0.000018851
2025.0	0.000023228
2026.0	0.000028555
2027.0	0.000031276
2028.0	0.000035711
2029.0	0.000042311
2030.0	0.000044448
2031.0	0.000045237
2032.0	0.000044298
2033.0	0.000042583
2034.0	0.000040832
2035.0	0.000046535
2036.0	0.000057788
2037.0	0.000054268
2038.0	0.000045950
2039.0	0.000044294
2040.0	0.000038648
2041.0	0.000031271
2042.0	0.000044617
2043.0	0.000067347
2044.0	0.000079858
2045.0	0.000080909
2046.0	0.000074318
2047.0	0.000059944
2048.0	0.000047015
2049.0	0.000040515
2050.0	0.000036862
2051.0	0.000046670
2052.0	0.000055554
2053.0	0.000059639
2054.0	0.000064257
2055.0	0.000054742
2056.0	0.000045675
2057.0	0.000059606
2058.0	0.000064756
2059.0	0.000063316
2060.0	0.000083859
2061.0	0.000085209
2062.0	0.000066177
2063.0	0.000072675
2064.0	0.000067870
2065.0	0.000035101
2066.0	0.000031777
2067.0	0.000050944
2068.0	0.000063871
2069.0	0.000078794
2070.0	0.000082454
2071.0	0.000072797
2072.0	0.000073415
2073.0	0.000052582
2074.0	0.000043579
2075.0	0.000091932
2076.0	0.000107905
2077.0	0.000070312
2078.0	0.000067636
2079.0	0.000075385
2080.0	0.000053434
2081.0	0.000067835
2082.0	0.000104045
2083.0	0.000099407
2084.0	0.000088871
2085.0	0.000090975
2086.0	0.000080570
2087.0	0.000081886
2088.0	0.000092029
2089.0	0.000073457
2090.0	0.000063955
2091.0	0.000078400
2092.0	0.000078351
2093.0	0.000085621
2094.0	0.000106947
2095.0	0.000123979
2096.0	0.000126889
2097.0	0.000123312
2098.0	0.000134416
2099.0	0.000147317
2100.0	0.000118042
2101.0	0.000085884
2102.0	0.000090958
2103.0	0.000081985
2104.0	0.000086561
2105.0	0.000131218
2106.0	0.000158410
2107.0	0.000163253
2108.0	0.000186390
2109.0	0.000190459
2110.0	0.000178597
2111.0	0.000187446
2112.0	0.000188940
2113.0	0.000196856
2114.0	0.000226261
2115.0	0.000234446
2116.0	0.000215621
2117.0	0.000207153
2118.0	0.000170671
2119.0	0.000142266
2120.0	0.000207586
2121.0	0.000255958
2122.0	0.000275631
2123.0	0.000329311
2124.0	0.000340472
2125.0	0.000283054
2126.0	0.000287213
2127.0	0.000305214
2128.0	0.000303714
2129.0	0.000376237
2130.0	0.000441101
2131.0	0.000471935
2132.0	0.000501527
2133.0	0.000510974
2134.0	0.000522161
2135.0	0.000577032
2136.0	0.000613124
2137.0	0.000645607
2138.0	0.000711444
2139.0	0.000763394
2140.0	0.000797463
2141.0	0.000838604
2142.0	0.000897960
2143.0	0.000953931
2144.0	0.001014965
